Stav,Změna,Pavilon,Místnost,"IČ",Inv. číslo,Název,Typ,Podtyp,SN,"VYRAD",Datum pořízení,
,,2,23,S,4596,PC,HP Pro deks 400 G3,,,,,
,,P,27,S,3792/2,MONITOR,Asus,,,,,
,,P,27,UP,4763,PC,HP Elite Desk 800 G1 SFF,,,,,
,,TV,17,S,4408,MONITOR,acer,KA210HQ,,,,
,,TV,17,S,4765,PC,HP Elite Desk 800 G1 SFF,,,,,
,,TV,17,S,4075,TISKARNA,tiskárna Samsung SL-M2070FW,,,,,
,,U,,UP,5919,NTB,Acer Vero i5,,,,,
,,U,,,5319,NTB,Chromebo,,,,,
,,U,,UP,5920,NTB,Acer Vero i5,,,,,
,,Z,,S,5211,SLUCHATKA,,,,,,
,,1,31,S,6069,NTB,Acer Aspire 3,,,,,
,,1,27,UP,6326,NTB,HP ProBo,455 G10,,,,
,,1,27,UP,6327,NTB,HP ProBo,455 G10,,,,
,,1,27,UP,6328,NTB,HP ProBo,455 G10,,,,
,,1,27,UP,6329,NTB,HP ProBo,455 G10,,,,
